"","Iter","m","s","n"
"1",1,0.0107844376438908,0.0541584219596894,100
"2",2,0.00168623435588144,0.0878402205280675,100
"3",3,-0.0226807291160902,0.107489635390719,100
"4",4,-0.0515170899749375,0.125081627679495,100
"5",5,-0.0809783381172128,0.13334748298435,100
"6",6,-0.103407932422211,0.142050841536325,100
"7",7,-0.137518076044625,0.155962033631607,100
"8",8,-0.159660403286055,0.168737398685582,100
"9",9,-0.190878611310452,0.171488813982218,100
"10",10,-0.215285222895772,0.180154000757476,100
"11",11,-0.227733090663726,0.196675852632993,100
"12",12,-0.261438283821078,0.203495192009805,100
"13",13,-0.299051526118354,0.195728146346175,100
"14",14,-0.31690478252429,0.192433273958677,100
"15",15,-0.328374745024677,0.198996901120647,100
"16",16,-0.340763031162888,0.202127920760379,100
"17",17,-0.352762199043838,0.206244185389957,100
"18",18,-0.377691782597387,0.199902980512779,100
"19",19,-0.3804957492451,0.210301394449917,100
"20",20,-0.389724693318676,0.218868533030196,100
