exp_num,env_num,item_num,x,y
1,1,1,-191,-148
1,1,2,-198,-126
1,1,3,-214,-91
1,1,4,-171,-118
1,1,5,-186,-83
1,1,6,139,-191
1,1,7,158,-151
1,1,8,173,-106
1,1,9,174,-156
1,1,10,195,-120
1,1,11,185,45
1,1,12,206,49
1,1,13,211,69
1,1,14,210,89
1,1,15,205,104
1,2,1,172,-188
1,2,2,244,-83
1,2,3,-228,75
1,2,4,-230,91
1,2,5,-239,106
1,2,6,-235,119
1,2,7,-216,126
1,2,8,-208,111
1,2,9,-207,99
1,2,10,-208,83
1,2,11,-204,65
1,2,12,-180,69
1,2,13,-186,95
1,2,14,-192,114
1,2,15,-192,128
1,3,1,-195,135
1,3,2,-217,115
1,3,3,-183,148
1,3,4,-222,90
1,3,5,-193,90
1,3,6,-183,108
1,3,7,-170,122
1,3,8,-184,61
1,3,9,-156,77
1,3,10,-157,94
1,3,11,-153,52
1,3,12,-131,95
1,3,13,-208,62
1,3,14,138,-177
1,3,15,212,-79
1,4,1,36,-114
1,4,2,8,-118
1,4,3,-16,-91
1,4,4,12,-92
1,4,5,49,-100
1,4,6,34,-82
1,4,7,-77,-25
1,4,8,-48,-20
1,4,9,-77,-1
1,4,10,-48,-8
1,4,11,-115,-1
1,4,12,-65,25
1,4,13,-95,12
1,4,14,51,-81
1,4,15,-99,-25
1,5,1,-229,-31
1,5,2,-187,-66
1,5,3,-159,-106
1,5,4,-187,-1
1,5,5,-153,-36
1,5,6,-124,-65
1,5,7,-121,0
1,5,8,181,83
1,5,9,193,35
1,5,10,69,50
1,5,11,87,28
1,5,12,93,-15
1,5,13,57,-25
1,5,14,46,7
1,5,15,36,42
1,6,1,-106,-125
1,6,2,-87,-104
1,6,3,-89,-142
1,6,4,-67,-118
1,6,5,-68,-159
1,6,6,-40,-133
1,6,7,-42,-179
1,6,8,-22,-155
1,6,9,-61,-74
1,6,10,-39,-66
1,6,11,-32,-105
1,6,12,-9,-87
1,6,13,-10,-126
1,6,14,20,-100
