subj,exp_num,env_num,item_num,trial_num,dot_color
A27GZN1JOOIAUW,1,25,1,1,2
A27GZN1JOOIAUW,1,25,2,1,2
A27GZN1JOOIAUW,1,25,3,1,2
A27GZN1JOOIAUW,1,25,4,1,2
A27GZN1JOOIAUW,1,25,5,1,2
A27GZN1JOOIAUW,1,25,6,1,2
A27GZN1JOOIAUW,1,25,7,1,3
A27GZN1JOOIAUW,1,25,8,1,3
A27GZN1JOOIAUW,1,25,9,1,3
A27GZN1JOOIAUW,1,25,10,1,3
A27GZN1JOOIAUW,1,25,11,1,1
A27GZN1JOOIAUW,1,25,12,1,1
A27GZN1JOOIAUW,1,25,13,1,1
A27GZN1JOOIAUW,1,25,14,1,1
A27GZN1JOOIAUW,1,25,15,1,1
A27GZN1JOOIAUW,1,21,1,2,2
A27GZN1JOOIAUW,1,21,2,2,2
A27GZN1JOOIAUW,1,21,3,2,2
A27GZN1JOOIAUW,1,21,4,2,2
A27GZN1JOOIAUW,1,21,5,2,2
A27GZN1JOOIAUW,1,21,6,2,2
A27GZN1JOOIAUW,1,21,7,2,2
A27GZN1JOOIAUW,1,21,8,2,1
A27GZN1JOOIAUW,1,21,9,2,1
A27GZN1JOOIAUW,1,21,10,2,1
A27GZN1JOOIAUW,1,21,11,2,1
A27GZN1JOOIAUW,1,21,12,2,1
A27GZN1JOOIAUW,1,21,13,2,1
A27GZN1JOOIAUW,1,21,14,2,1
A27GZN1JOOIAUW,1,21,15,2,1
A1NEC7KD6B45HH,1,22,1,3,2
A1NEC7KD6B45HH,1,22,2,3,2
A1NEC7KD6B45HH,1,22,3,3,2
A1NEC7KD6B45HH,1,22,4,3,1
A1NEC7KD6B45HH,1,22,5,3,2
A1NEC7KD6B45HH,1,22,6,3,1
A1NEC7KD6B45HH,1,22,7,3,1
A1NEC7KD6B45HH,1,22,8,3,1
A1NEC7KD6B45HH,1,22,9,3,2
A1NEC7KD6B45HH,1,22,10,3,2
A1NEC7KD6B45HH,1,22,11,3,2
A1NEC7KD6B45HH,1,22,12,3,1
A1NEC7KD6B45HH,1,22,13,3,1
A1NEC7KD6B45HH,1,22,14,3,2
A1NEC7KD6B45HH,1,22,15,3,2
A27GZN1JOOIAUW,1,17,1,4,3
A27GZN1JOOIAUW,1,17,2,4,3
A27GZN1JOOIAUW,1,17,3,4,3
A27GZN1JOOIAUW,1,17,4,4,6
A27GZN1JOOIAUW,1,17,5,4,6
A27GZN1JOOIAUW,1,17,6,4,2
A27GZN1JOOIAUW,1,17,7,4,2
A27GZN1JOOIAUW,1,17,8,4,1
A27GZN1JOOIAUW,1,17,9,4,1
A27GZN1JOOIAUW,1,17,10,4,4
A27GZN1JOOIAUW,1,17,11,4,4
A27GZN1JOOIAUW,1,17,12,4,6
A27GZN1JOOIAUW,1,17,13,4,5
A27GZN1JOOIAUW,1,17,14,4,5
A27GZN1JOOIAUW,1,17,15,4,5
A1NEC7KD6B45HH,1,14,1,5,3
A1NEC7KD6B45HH,1,14,2,5,2
A1NEC7KD6B45HH,1,14,3,5,3
A1NEC7KD6B45HH,1,14,4,5,3
A1NEC7KD6B45HH,1,14,5,5,2
A1NEC7KD6B45HH,1,14,6,5,4
A1NEC7KD6B45HH,1,14,7,5,4
A1NEC7KD6B45HH,1,14,8,5,4
A1NEC7KD6B45HH,1,14,9,5,4
A1NEC7KD6B45HH,1,14,10,5,1
A1NEC7KD6B45HH,1,14,11,5,1
A1NEC7KD6B45HH,1,14,12,5,1
A1NEC7KD6B45HH,1,14,13,5,1
A1NEC7KD6B45HH,1,14,14,5,1
A1NEC7KD6B45HH,1,14,15,5,4
A27GZN1JOOIAUW,1,23,1,6,2
A27GZN1JOOIAUW,1,23,2,6,3
A27GZN1JOOIAUW,1,23,3,6,3
A27GZN1JOOIAUW,1,23,4,6,3
A27GZN1JOOIAUW,1,23,5,6,1
A27GZN1JOOIAUW,1,23,6,6,1
A27GZN1JOOIAUW,1,23,7,6,1
A27GZN1JOOIAUW,1,23,8,6,1
A27GZN1JOOIAUW,1,23,9,6,1
A27GZN1JOOIAUW,1,23,10,6,1
A27GZN1JOOIAUW,1,23,11,6,2
A27GZN1JOOIAUW,1,23,12,6,2
A27GZN1JOOIAUW,1,23,13,6,1
A27GZN1JOOIAUW,1,23,14,6,1
A27GZN1JOOIAUW,1,23,15,6,1
AA7BTDZQNHW5,1,23,1,7,4
