subj,exp_num,env_num,item_num,trial_num,dot_color
A27GZN1JOOIAUW,1,24,1,1,2
A27GZN1JOOIAUW,1,24,2,1,2
A27GZN1JOOIAUW,1,24,3,1,2
A27GZN1JOOIAUW,1,24,4,1,2
A27GZN1JOOIAUW,1,24,5,1,2
A27GZN1JOOIAUW,1,24,6,1,2
A27GZN1JOOIAUW,1,24,7,1,3
A27GZN1JOOIAUW,1,24,8,1,3
A27GZN1JOOIAUW,1,24,9,1,3
A27GZN1JOOIAUW,1,24,10,1,3
A27GZN1JOOIAUW,1,24,11,1,1
A27GZN1JOOIAUW,1,24,12,1,1
A27GZN1JOOIAUW,1,24,13,1,1
A27GZN1JOOIAUW,1,24,14,1,1
A27GZN1JOOIAUW,1,24,15,1,1
A27GZN1JOOIAUW,1,20,1,2,2
A27GZN1JOOIAUW,1,20,2,2,2
A27GZN1JOOIAUW,1,20,3,2,2
A27GZN1JOOIAUW,1,20,4,2,2
A27GZN1JOOIAUW,1,20,5,2,2
A27GZN1JOOIAUW,1,20,6,2,2
A27GZN1JOOIAUW,1,20,7,2,2
A27GZN1JOOIAUW,1,20,8,2,1
A27GZN1JOOIAUW,1,20,9,2,1
A27GZN1JOOIAUW,1,20,10,2,1
A27GZN1JOOIAUW,1,20,11,2,1
A27GZN1JOOIAUW,1,20,12,2,1
A27GZN1JOOIAUW,1,20,13,2,1
A27GZN1JOOIAUW,1,20,14,2,1
A27GZN1JOOIAUW,1,20,15,2,1
A1NEC7KD6B45HH,1,21,1,3,2
A1NEC7KD6B45HH,1,21,2,3,2
A1NEC7KD6B45HH,1,21,3,3,2
A1NEC7KD6B45HH,1,21,4,3,1
A1NEC7KD6B45HH,1,21,5,3,2
A1NEC7KD6B45HH,1,21,6,3,1
A1NEC7KD6B45HH,1,21,7,3,1
A1NEC7KD6B45HH,1,21,8,3,1
A1NEC7KD6B45HH,1,21,9,3,2
A1NEC7KD6B45HH,1,21,10,3,2
A1NEC7KD6B45HH,1,21,11,3,2
A1NEC7KD6B45HH,1,21,12,3,1
A1NEC7KD6B45HH,1,21,13,3,1
A1NEC7KD6B45HH,1,21,14,3,2
A1NEC7KD6B45HH,1,21,15,3,2
A27GZN1JOOIAUW,1,16,1,4,3
A27GZN1JOOIAUW,1,16,2,4,3
A27GZN1JOOIAUW,1,16,3,4,3
A27GZN1JOOIAUW,1,16,4,4,6
A27GZN1JOOIAUW,1,16,5,4,6
A27GZN1JOOIAUW,1,16,6,4,2
A27GZN1JOOIAUW,1,16,7,4,2
A27GZN1JOOIAUW,1,16,8,4,1
A27GZN1JOOIAUW,1,16,9,4,1
A27GZN1JOOIAUW,1,16,10,4,4
A27GZN1JOOIAUW,1,16,11,4,4
A27GZN1JOOIAUW,1,16,12,4,6
A27GZN1JOOIAUW,1,16,13,4,5
A27GZN1JOOIAUW,1,16,14,4,5
A27GZN1JOOIAUW,1,16,15,4,5
A1NEC7KD6B45HH,1,13,1,5,3
A1NEC7KD6B45HH,1,13,2,5,2
A1NEC7KD6B45HH,1,13,3,5,3
A1NEC7KD6B45HH,1,13,4,5,3
A1NEC7KD6B45HH,1,13,5,5,2
A1NEC7KD6B45HH,1,13,6,5,4
A1NEC7KD6B45HH,1,13,7,5,4
A1NEC7KD6B45HH,1,13,8,5,4
A1NEC7KD6B45HH,1,13,9,5,4
A1NEC7KD6B45HH,1,13,10,5,1
A1NEC7KD6B45HH,1,13,11,5,1
A1NEC7KD6B45HH,1,13,12,5,1
A1NEC7KD6B45HH,1,13,13,5,1
A1NEC7KD6B45HH,1,13,14,5,1
A1NEC7KD6B45HH,1,13,15,5,4
A27GZN1JOOIAUW,1,22,1,6,2
A27GZN1JOOIAUW,1,22,2,6,3
A27GZN1JOOIAUW,1,22,3,6,3
A27GZN1JOOIAUW,1,22,4,6,3
A27GZN1JOOIAUW,1,22,5,6,1
A27GZN1JOOIAUW,1,22,6,6,1
A27GZN1JOOIAUW,1,22,7,6,1
A27GZN1JOOIAUW,1,22,8,6,1
A27GZN1JOOIAUW,1,22,9,6,1
A27GZN1JOOIAUW,1,22,10,6,1
A27GZN1JOOIAUW,1,22,11,6,2
A27GZN1JOOIAUW,1,22,12,6,2
A27GZN1JOOIAUW,1,22,13,6,1
A27GZN1JOOIAUW,1,22,14,6,1
A27GZN1JOOIAUW,1,22,15,6,1
AA7BTDZQNHW5,1,22,1,7,4
AA7BTDZQNHW5,1,22,2,7,5
AA7BTDZQNHW5,1,22,3,7,3
AA7BTDZQNHW5,1,22,4,7,3
AA7BTDZQNHW5,1,22,5,7,3
AA7BTDZQNHW5,1,22,6,7,3
AA7BTDZQNHW5,1,22,7,7,2
AA7BTDZQNHW5,1,22,8,7,2
AA7BTDZQNHW5,1,22,9,7,2
AA7BTDZQNHW5,1,22,10,7,1
AA7BTDZQNHW5,1,22,11,7,4
AA7BTDZQNHW5,1,22,12,7,4
AA7BTDZQNHW5,1,22,13,7,1
AA7BTDZQNHW5,1,22,14,7,1
AA7BTDZQNHW5,1,22,15,7,3
A1NEC7KD6B45HH,1,19,1,8,3
A1NEC7KD6B45HH,1,19,2,8,3
A1NEC7KD6B45HH,1,19,3,8,3
A1NEC7KD6B45HH,1,19,4,8,3
A1NEC7KD6B45HH,1,19,5,8,3
A1NEC7KD6B45HH,1,19,6,8,3
A1NEC7KD6B45HH,1,19,7,8,1
A1NEC7KD6B45HH,1,19,8,8,1
A1NEC7KD6B45HH,1,19,9,8,1
A1NEC7KD6B45HH,1,19,10,8,1
A1NEC7KD6B45HH,1,19,11,8,1
A1NEC7KD6B45HH,1,19,12,8,1
A1NEC7KD6B45HH,1,19,13,8,1
A1NEC7KD6B45HH,1,19,14,8,1
A1NEC7KD6B45HH,1,19,15,8,2
A27GZN1JOOIAUW,1,9,1,9,2
A27GZN1JOOIAUW,1,9,2,9,2
A27GZN1JOOIAUW,1,9,3,9,3
A27GZN1JOOIAUW,1,9,4,9,3
A27GZN1JOOIAUW,1,9,5,9,3
A27GZN1JOOIAUW,1,9,6,9,1
A27GZN1JOOIAUW,1,9,7,9,1
A27GZN1JOOIAUW,1,9,8,9,1
A27GZN1JOOIAUW,1,9,9,9,1
A27GZN1JOOIAUW,1,9,10,9,1
A27GZN1JOOIAUW,1,9,11,9,1
A27GZN1JOOIAUW,1,9,12,9,1
A27GZN1JOOIAUW,1,9,13,9,1
A27GZN1JOOIAUW,1,9,14,9,1
A27GZN1JOOIAUW,1,9,15,9,1
A2OG4QIW2BK2EV,1,16,1,10,1
A2OG4QIW2BK2EV,1,16,2,10,1
A2OG4QIW2BK2EV,1,16,3,10,1
A2OG4QIW2BK2EV,1,16,4,10,1
A2OG4QIW2BK2EV,1,16,5,10,1
A2OG4QIW2BK2EV,1,16,6,10,1
A2OG4QIW2BK2EV,1,16,7,10,1
A2OG4QIW2BK2EV,1,16,8,10,1
A2OG4QIW2BK2EV,1,16,9,10,1
A2OG4QIW2BK2EV,1,16,10,10,1
A2OG4QIW2BK2EV,1,16,11,10,1
A2OG4QIW2BK2EV,1,16,12,10,1
A2OG4QIW2BK2EV,1,16,13,10,1
A2OG4QIW2BK2EV,1,16,14,10,1
A2OG4QIW2BK2EV,1,16,15,10,1
A2OG4QIW2BK2EV,1,10,1,11,1
A2OG4QIW2BK2EV,1,10,2,11,1
A2OG4QIW2BK2EV,1,10,3,11,1
A2OG4QIW2BK2EV,1,10,4,11,1
A2OG4QIW2BK2EV,1,10,5,11,1
A2OG4QIW2BK2EV,1,10,6,11,1
A2OG4QIW2BK2EV,1,10,7,11,1
A2OG4QIW2BK2EV,1,10,8,11,1
A2OG4QIW2BK2EV,1,10,9,11,1
A2OG4QIW2BK2EV,1,10,10,11,1
A2OG4QIW2BK2EV,1,10,11,11,1
A2OG4QIW2BK2EV,1,10,12,11,1
A2OG4QIW2BK2EV,1,10,13,11,1
A2OG4QIW2BK2EV,1,10,14,11,1
A2OG4QIW2BK2EV,1,10,15,11,1
A27GZN1JOOIAUW,1,21,1,12,2
A27GZN1JOOIAUW,1,21,2,12,2
A27GZN1JOOIAUW,1,21,3,12,3
A27GZN1JOOIAUW,1,21,4,12,4
A27GZN1JOOIAUW,1,21,5,12,1
A27GZN1JOOIAUW,1,21,6,12,1
A27GZN1JOOIAUW,1,21,7,12,4
A27GZN1JOOIAUW,1,21,8,12,4
A27GZN1JOOIAUW,1,21,9,12,4
A27GZN1JOOIAUW,1,21,10,12,4
A27GZN1JOOIAUW,1,21,11,12,4
A27GZN1JOOIAUW,1,21,12,12,4
A27GZN1JOOIAUW,1,21,13,12,4
A27GZN1JOOIAUW,1,21,14,12,1
A27GZN1JOOIAUW,1,21,15,12,4
A27GZN1JOOIAUW,1,13,1,13,1
A27GZN1JOOIAUW,1,13,2,13,1
A27GZN1JOOIAUW,1,13,3,13,1
A27GZN1JOOIAUW,1,13,4,13,1
A27GZN1JOOIAUW,1,13,5,13,1
A27GZN1JOOIAUW,1,13,6,13,2
A27GZN1JOOIAUW,1,13,7,13,2
A27GZN1JOOIAUW,1,13,8,13,2
A27GZN1JOOIAUW,1,13,9,13,2
A27GZN1JOOIAUW,1,13,10,13,2
A27GZN1JOOIAUW,1,13,11,13,2
A27GZN1JOOIAUW,1,13,12,13,2
A27GZN1JOOIAUW,1,13,13,13,2
A27GZN1JOOIAUW,1,13,14,13,2
A27GZN1JOOIAUW,1,13,15,13,2
