disp,chain,iter,value
1,1,1,6.22175685465172
1,1,2,5.96339054615328
1,1,3,6.20680841658176
1,1,4,6.38519155430631
1,1,5,6.10316908584275
1,1,6,6.08691221601164
1,1,7,5.82940404192055
1,1,8,6.00379278756511
1,1,9,6.15640465231523
1,1,10,5.6049622428018
1,1,11,5.56482648219828
1,1,12,5.70146607145922
1,1,13,5.74984196166633
1,1,14,5.71036801954557
1,1,15,6.27129781393467
1,1,16,5.55524935969858
1,1,17,5.9321244503629
1,1,18,5.78553015860887
1,1,19,6.06436693163827
1,1,20,5.61103560058742
1,2,1,5.98825430687735
1,2,2,6.35105183090946
1,2,3,6.14208313168218
1,2,4,5.89228040051305
1,2,5,5.98693821742942
1,2,6,5.57063346020824
1,2,7,6.18822646159075
1,2,8,6.12054652977309
1,2,9,6.98819402850278
1,2,10,5.90546797242917
1,2,11,5.78898553771729
1,2,12,5.96282004717443
1,2,13,5.64132496396636
1,2,14,5.79398783057538
1,2,15,5.69104106850178
1,2,16,5.71168330551496
1,2,17,5.94619220727957
1,2,18,6.06075478298044
1,2,19,6.06434972374536
1,2,20,6.74972165530285
1,3,1,5.97193605038038
1,3,2,6.21642196375881
1,3,3,5.95826239740378
1,3,4,5.50644363991413
1,3,5,5.47568175870636
1,3,6,5.52830794051746
1,3,7,5.98640195719876
1,3,8,5.9939491330967
1,3,9,6.14557893213298
1,3,10,6.12578479559983
1,3,11,6.20587380514856
1,3,12,6.03248026351988
1,3,13,6.28429845572457
1,3,14,6.09184555907409
1,3,15,6.15763656165824
1,3,16,6.06119201883826
1,3,17,5.99538637987998
1,3,18,6.53765776063164
1,3,19,5.9929593132995
1,3,20,5.88772464035966
1,4,1,5.98307951686236
1,4,2,5.74628729645975
1,4,3,5.78631221387374
1,4,4,5.80909079926243
1,4,5,5.6303438241272
1,4,6,5.66850046612501
1,4,7,6.42005200658766
1,4,8,6.154593037455
1,4,9,5.54651686635239
1,4,10,5.51347005979542
1,4,11,5.71094899250943
1,4,12,5.83869692691867
1,4,13,5.52309928362444
1,4,14,5.39060269914931
1,4,15,5.18944103765597
1,4,16,5.1520706568139
1,4,17,5.21883122890655
1,4,18,4.95884045450203
1,4,19,5.1465136920973
1,4,20,4.94091047481541
1,5,1,6.11265461420841
1,5,2,6.51092072291588
1,5,3,6.18084953835068
1,5,4,5.80982087322106
1,5,5,6.1691539933107
1,5,6,5.95074601316001
