disp,chain,iter,value
1,1,1,6.14145282855783
1,1,2,5.82838096131646
1,1,3,6.57113863248321
1,1,4,6.16324716834228
1,1,5,6.66814851474918
1,1,6,5.87572416343111
1,1,7,5.82375454318617
1,1,8,6.00358743571491
1,1,9,5.98271027173055
1,1,10,6.52136847399005
1,1,11,5.79918231069135
1,1,12,6.02253160072377
1,1,13,5.82873572517645
1,1,14,5.56983268288064
1,1,15,5.72689787269166
1,1,16,5.78087433992386
1,1,17,5.97587008299004
1,1,18,6.21103055000892
1,1,19,6.21150382089933
1,1,20,5.64100711466257
1,2,1,6.36377510420241
1,2,2,5.92186882395421
1,2,3,6.03786907971394
1,2,4,6.11927020937828
1,2,5,5.99862165790236
1,2,6,6.55592160622534
1,2,7,6.22018067617778
1,2,8,5.94892189302407
1,2,9,6.53862595963358
1,2,10,6.01888536511791
1,2,11,5.99985494205733
1,2,12,5.58922506479978
1,2,13,5.71973255208376
1,2,14,5.84952235791022
1,2,15,5.64376990122185
1,2,16,6.03673499285535
1,2,17,6.30310552905656
1,2,18,6.07435646919774
1,2,19,5.88794443553178
1,2,20,5.96721521134825
1,3,1,6.19581781875892
1,3,2,6.17135402707885
1,3,3,6.27163923045263
1,3,4,5.80039977386187
1,3,5,5.95505444486311
1,3,6,5.75991174907404
1,3,7,5.92395082196045
1,3,8,6.22350523850364
1,3,9,6.00049508430475
1,3,10,5.93253959302262
1,3,11,6.23766166802445
1,3,12,5.89192807109866
1,3,13,5.75331712633745
1,3,14,5.7778435022654
1,3,15,6.00166001004115
1,3,16,5.62931292737722
1,3,17,6.09459596068333
1,3,18,5.74692707409359
1,3,19,6.25748683727767
1,3,20,5.70013887033826
1,4,1,6.37826442548084
1,4,2,5.98605990665267
1,4,3,6.80387046070993
1,4,4,6.84865074318211
1,4,5,6.29527448826099
1,4,6,6.10370715719339
1,4,7,6.00491863639048
1,4,8,5.77836306977822
1,4,9,6.28913451766474
1,4,10,6.3304210352943
1,4,11,6.25229617777884
1,4,12,6.41433960031343
1,4,13,6.59903432161933
1,4,14,6.10465283732242
1,4,15,5.96652481183393
1,4,16,6.32384359026792
1,4,17,6.03879514126963
1,4,18,6.21586837059664
1,4,19,6.45262215704776
1,4,20,6.3470587640183
1,5,1,6.2449645662848
1,5,2,6.37440819531694
1,5,3,5.862189944598
1,5,4,5.38738987693323
1,5,5,5.84465217351338
1,5,6,6.52074412777037
1,5,7,5.81356027263077
1,5,8,6.56697413930744
1,5,9,5.97325429483223
1,5,10,5.98926485557949
1,5,11,5.87066836432015
1,5,12,5.72414927191484
1,5,13,6.56485344434319
1,5,14,6.26967919205631
1,5,15,5.47467676440248
1,5,16,5.84902137795545
1,5,17,5.66238738804106
1,5,18,4.97674846412506
1,5,19,5.39364677508744
1,5,20,5.54138881360006
1,6,1,5.88370367330772
1,6,2,6.09430029525744
1,6,3,5.45348572032379
1,6,4,6.01026214211238
1,6,5,5.86798468884915
1,6,6,5.38900658058521
1,6,7,5.3759428071806
1,6,8,5.80893566494947
1,6,9,5.63769783002153
1,6,10,5.32693959607956
1,6,11,5.7387627912708
1,6,12,5.64002227667966
1,6,13,5.68974890680569
1,6,14,5.66877921672122
1,6,15,5.44981187265574
1,6,16,5.51240432837101
1,6,17,5.50651583836146
1,6,18,5.6502166010047
1,6,19,5.61339857446061
1,6,20,5.84576257053218
1,7,1,6.21402659964344
1,7,2,6.71938105452604
1,7,3,6.0253582718146
1,7,4,6.59016059169163
1,7,5,6.11826958178352
1,7,6,6.22224516997871
1,7,7,6.12124890803651
1,7,8,5.9836809915302
1,7,9,6.02312536302107
1,7,10,5.8804894347033
1,7,11,6.13364865252235
1,7,12,6.59463680266417
1,7,13,5.85810125332617
1,7,14,5.97756304901409
1,7,15,5.32352814626696
1,7,16,5.57385647462474
1,7,17,5.77549875710745
1,7,18,5.41585837982444
1,7,19,5.8031957244258
1,7,20,5.25896541269254
1,8,1,6.38539701165026
1,8,2,6.1346545958214
1,8,3,6.21709766077572
1,8,4,6.84334793834057
1,8,5,6.76679220411325
1,8,6,6.0100539643447
1,8,7,6.11077628438616
1,8,8,5.85521784538739
1,8,9,6.10684587132328
1,8,10,6.00301716859288
1,8,11,5.97024913463471
1,8,12,5.95022804696465
1,8,13,6.04305982783504
1,8,14,5.31520311065436
1,8,15,5.66515748922188
1,8,16,5.48838120930131
1,8,17,5.40018010084393
1,8,18,5.47245767783445
1,8,19,5.85694767699908
1,8,20,5.94790371534817
1,9,1,6.1272646177446
1,9,2,6.49292839939707
1,9,3,6.26849946118567
1,9,4,6.31083462267157
1,9,5,6.29591374901829
1,9,6,5.69420195979985
1,9,7,6.03741898012117
1,9,8,5.99899959266655
1,9,9,6.19808314368772
1,9,10,6.31238364644284
1,9,11,5.79494306907717
1,9,12,6.22398026614403
1,9,13,5.84703961513793
1,9,14,5.5168753635449
1,9,15,5.72137095568911
1,9,16,5.77146994070899
1,9,17,5.7057928617597
1,9,18,5.0545316361735
1,9,19,5.31755614625716
