disp,chain,iter,value
1,1,1,6.33366401885658
1,1,2,6.15912628249181
1,1,3,6.13804284326344
1,1,4,6.2939169205552
1,1,5,5.85567364871197
1,1,6,5.97175826424784
1,1,7,5.95654468091989
1,1,8,5.96517237468601
1,1,9,5.91505717227816
1,1,10,5.95030832489855
1,1,11,5.90539772116589
1,1,12,5.84495525615519
1,1,13,5.85215235036777
1,1,14,5.78930507525711
1,1,15,5.83741582849508
1,1,16,5.94311409133386
1,1,17,5.48943827077991
1,1,18,5.58541753518472
1,1,19,5.59472948077204
1,1,20,5.72032920644591
1,2,1,6.14333372461015
1,2,2,5.84814381525885
1,2,3,6.2754473703666
1,2,4,6.05784218951772
1,2,5,5.74461570609262
1,2,6,5.88164675825367
1,2,7,5.84180140746543
1,2,8,6.32169546427725
1,2,9,6.09823118392758
1,2,10,5.87130955742394
1,2,11,5.76389917895286
1,2,12,5.92913318362095
1,2,13,6.35578831707298
1,2,14,5.80703686978264
1,2,15,5.59112984036268
1,2,16,5.72770988921858
1,2,17,5.59473220524748
1,2,18,5.72990812492828
1,2,19,5.70551487709384
1,2,20,6.29467580233359
1,3,1,5.93678311394509
1,3,2,5.80763584397065
1,3,3,5.98445130968559
1,3,4,5.78972967943012
1,3,5,5.71942947559826
1,3,6,5.81682737360551
1,3,7,5.80724524159081
1,3,8,6.40868565704118
1,3,9,5.7176406029726
1,3,10,6.38425415466174
1,3,11,5.90432987803554
1,3,12,5.95686206976904
1,3,13,6.01169127823993
1,3,14,5.9094573328274
1,3,15,5.83954584763346
1,3,16,6.05155719250723
1,3,17,6.17622125682243
1,3,18,6.25741294644173
1,3,19,5.74824321103211
1,3,20,5.88163823725181
1,4,1,5.94704703323618
1,4,2,5.85809895285533
1,4,3,5.93906282554043
1,4,4,6.15819334849687
1,4,5,6.16844854839057
1,4,6,6.02270257603917
1,4,7,5.87808096584289
1,4,8,5.9419596550528
1,4,9,5.99612685438413
1,4,10,6.20139076081798
1,4,11,6.13658238408083
1,4,12,6.2317865625442
1,4,13,5.96633708111632
1,4,14,5.88268142197758
1,4,15,5.67046214974641
1,4,16,6.02963018011241
1,4,17,6.08443535022819
1,4,18,5.87426320055603
1,4,19,5.92729084814116
1,4,20,5.46709978733545
1,5,1,6.1101303974632
1,5,2,6.14602011846963
1,5,3,5.98824899785709
1,5,4,6.22954786618783
1,5,5,6.14589605271001
1,5,6,5.9342937333148
1,5,7,5.36935948632433
1,5,8,5.85323661053874
1,5,9,5.47612825660818
1,5,10,5.67246093268616
1,5,11,5.38835953218167
1,5,12,5.60933190588926
1,5,13,5.66626201655535
1,5,14,5.53676547433794
1,5,15,5.71040559199244
1,5,16,5.58829501684231
1,5,17,5.42038250459425
1,5,18,5.31965583310672
1,5,19,5.4166686980572
1,5,20,5.18335967933006
1,6,1,6.37185997358672
1,6,2,5.94086161442143
1,6,3,6.03544605514727
1,6,4,5.91755255928862
1,6,5,5.80413402084597
1,6,6,5.83351480032891
1,6,7,5.86268481550029
1,6,8,6.12155640226374
1,6,9,5.84654614092559
1,6,10,5.68066129823373
1,6,11,5.74712857037981
1,6,12,5.9724772964285
1,6,13,5.8019298335996
1,6,14,5.79072585845412
1,6,15,5.97265279542496
1,6,16,6.12560655647713
1,6,17,6.04689239249813
1,6,18,6.34442244184034
1,6,19,5.94583996225274
1,6,20,5.70105853914873
1,7,1,6.40451641178322
1,7,2,6.2542829523892
1,7,3,5.94852107538296
1,7,4,5.97426300757904
1,7,5,5.86560813870172
1,7,6,5.97665040422462
1,7,7,5.52227938091036
1,7,8,5.68791344329914
1,7,9,5.95415430475686
1,7,10,5.710469385779
1,7,11,5.71417427902774
1,7,12,5.4496778236502
1,7,13,5.76599348197527
1,7,14,5.44509470751367
1,7,15,5.56532307235509
1,7,16,5.29121766638929
1,7,17,5.80352248136764
1,7,18,5.45672428471928
1,7,19,5.44669445300488
1,7,20,5.50288487434999
1,8,1,6.30051370274436
1,8,2,6.2256789277176
1,8,3,6.17324889375486
1,8,4,6.05078919371688
1,8,5,6.06392347507617
1,8,6,6.05467252370447
1,8,7,5.92394650149309
1,8,8,6.14354783398605
1,8,9,5.97602202699199
1,8,10,5.47409623581552
1,8,11,5.61029814662018
1,8,12,5.49134388568043
1,8,13,5.60830207249425
1,8,14,5.36848562977535
1,8,15,5.73040603270045
1,8,16,5.69027593687218
1,8,17,5.60196426045476
1,8,18,5.69647605182752
1,8,19,5.72221865942405
1,8,20,5.77901895553957
1,9,1,6.25590892566728
1,9,2,6.05646565304582
1,9,3,5.99635501515269
1,9,4,6.18728823041546
1,9,5,5.80481247147576
1,9,6,5.85094519408958
1,9,7,5.91122166448503
1,9,8,5.67906922024075
1,9,9,5.76901718141813
1,9,10,5.34403852984589
1,9,11,5.37491903775598
1,9,12,5.07630204583056
1,9,13,5.11545483451183
1,9,14,5.18472468320283
1,9,15,4.97676892357331
1,9,16,4.9072684796262
1,9,17,5.15231226584013
1,9,18,4.98006686471384
1,9,19,5.11741096727896
1,9,20,5.48642068799879
1,10,1,6.02674018874565
1,10,2,6.01890740508799
1,10,3,5.77403419967504
1,10,4,5.7606084012294
1,10,5,5.63663308552879
1,10,6,5.9221388145962
1,10,7,5.87590247137317
1,10,8,5.8753583720481
1,10,9,5.62711945322265
1,10,10,5.92533567157736
1,10,11,6.01169635546856
1,10,12,5.85946874480923
1,10,13,5.74458786926886
1,10,14,5.67795258680297
1,10,15,5.82069079401028
1,10,16,5.61747131465688
1,10,17,5.71440163547197
1,10,18,5.79899988799774
1,10,19,5.91217247058861
1,10,20,5.75282930567035
2,1,1,6.00044082026621
2,1,2,5.95626393276141
2,1,3,5.78564664419758
2,1,4,6.12022778238912
2,1,5,5.30295809553634
2,1,6,5.58996427232689
2,1,7,5.64087393575549
2,1,8,5.67334012586135
2,1,9,5.84505232575824
2,1,10,5.83770810635626
2,1,11,5.78813889793757
2,1,12,5.9626598453976
2,1,13,5.68672125428981
2,1,14,5.68943818446558
2,1,15,5.66894879875241
2,1,16,5.73603254080315
2,1,17,5.74531495391427
2,1,18,5.57540272585967
2,1,19,5.25116430403075
2,1,20,5.64952342463665
2,2,1,5.90798461160282
2,2,2,5.70690600639207
2,2,3,5.8080126712049
2,2,4,5.93504794799402
2,2,5,6.08070026371725
2,2,6,6.2384286615654
2,2,7,5.69468893621609
2,2,8,5.51284744209329
2,2,9,5.53417486587177
2,2,10,5.57147901755254
2,2,11,5.58188217462905
2,2,12,5.71181678252246
2,2,13,5.87252109228794
2,2,14,5.63309092118771
2,2,15,5.41801089991871
