disp,chain,iter,value
1,1,1,8.07599965727016
1,1,2,8.07261813586985
1,1,3,8.06845234827956
1,1,4,8.16173983097765
1,1,5,8.12645403900147
1,1,6,8.17990356670687
1,1,7,8.21883192121034
1,1,8,8.19527722291924
1,1,9,8.1687873701397
1,1,10,8.14039435157599
1,1,11,8.16094558776681
1,1,12,8.16591027742675
1,1,13,8.18172945369093
1,1,14,8.19104466507072
1,1,15,8.10875842680226
1,1,16,8.03652491800751
1,1,17,7.98473736588138
1,1,18,7.92676934462725
1,1,19,7.91261553239971
1,1,20,7.91088392252142
1,2,1,8.07598424911152
1,2,2,8.07850726523034
1,2,3,7.95961442466358
1,2,4,7.98505684315231
1,2,5,8.02077577305797
1,2,6,8.00127387147251
1,2,7,7.98077177010128
1,2,8,7.94467224638399
1,2,9,7.98512063728955
1,2,10,8.03734535175017
1,2,11,8.00585689264819
1,2,12,8.07441872334684
1,2,13,8.0829904854364
1,2,14,8.01434748071002
1,2,15,8.03016770811933
1,2,16,8.00894867106661
1,2,17,7.90501979935851
1,2,18,7.86909805770589
1,2,19,7.83212867886817
1,2,20,7.79851263368777
1,3,1,8.0759318189589
1,3,2,8.11406948133979
1,3,3,7.98764338286343
1,3,4,7.95768526260855
1,3,5,8.0046989216846
1,3,6,7.94293549927476
1,3,7,7.94206680742452
1,3,8,7.89411578953178
1,3,9,7.884583144191
1,3,10,7.81215574600836
1,3,11,7.81335648482513
1,3,12,7.80867959638584
1,3,13,7.76746692975398
1,3,14,7.69872303002622
1,3,15,7.71423876323439
1,3,16,7.75544685624482
1,3,17,7.70564839424317
1,3,18,7.78327301967186
1,3,19,7.85811627955355
1,3,20,7.86191452856081
1,4,1,8.07590343332652
1,4,2,8.13135803822636
1,4,3,8.14107628350642
1,4,4,8.14493905343091
1,4,5,8.13258428233592
1,4,6,8.11160711913392
1,4,7,8.13840357909953
1,4,8,8.07962466464661
1,4,9,8.04936852421955
1,4,10,8.04116367600843
1,4,11,8.01500209129517
1,4,12,8.0399295948535
1,4,13,8.02945141886965
1,4,14,8.02483551754455
1,4,15,8.02779839032563
1,4,16,7.93429392269458
1,4,17,7.94013005419605
1,4,18,7.94770342684508
1,4,19,7.96698250850374
1,4,20,7.93659622735168
1,5,1,8.07589964888323
1,5,2,7.97855424269553
1,5,3,7.94098599007506
1,5,4,7.91119562385078
1,5,5,7.92092514141294
1,5,6,7.88554228885142
1,5,7,7.83851961791653
1,5,8,7.75470328843628
1,5,9,7.63868631253027
1,5,10,7.55166345188097
1,5,11,7.5783597812876
1,5,12,7.54110539438716
1,5,13,7.65765693895718
1,5,14,7.64587831562899
1,5,15,7.57776765749068
1,5,16,7.58044220115233
1,5,17,7.5641727608603
1,5,18,7.61850740608933
1,5,19,7.63059163060945
1,5,20,7.66564358226891
1,6,1,8.07599785385093
1,6,2,8.01982562239109
1,6,3,8.02177652621765
1,6,4,7.96461659317629
1,6,5,7.88070426775772
1,6,6,7.99100486122621
1,6,7,8.00638598107968
1,6,8,7.9716461681936
1,6,9,7.93242945515165
1,6,10,7.93614983745673
1,6,11,7.94031237201471
1,6,12,7.85165723501104
1,6,13,7.78149553170902
1,6,14,7.73020100249915
1,6,15,7.69557395692293
1,6,16,7.64291744844872
1,6,17,7.60562822519046
1,6,18,7.54309845894072
1,6,19,7.60520935493742
1,6,20,7.53010549415741
1,7,1,8.07592526347011
1,7,2,8.10244949138425
1,7,3,8.12763489796668
1,7,4,8.13705293392761
1,7,5,8.19514255420111
1,7,6,8.20403550447711
1,7,7,8.19019521578261
1,7,8,8.16432291000703
1,7,9,8.22069995397206
1,7,10,8.23125278260088
1,7,11,8.22339180398089
1,7,12,8.09495633872399
1,7,13,8.03025897580869
1,7,14,8.0666598546971
1,7,15,8.05063989267652
1,7,16,8.03502182180756
1,7,17,8.04076797632284
1,7,18,8.03371577830292
1,7,19,7.98938663434063
1,7,20,7.92456666434027
1,8,1,8.0759548906109
1,8,2,8.06621694494562
1,8,3,8.10115673097055
1,8,4,8.06780822321374
1,8,5,8.10020583859809
1,8,6,8.11362628353426
1,8,7,8.03435804772098
1,8,8,8.02321239668838
1,8,9,8.07299943692048
1,8,10,8.10607851088284
1,8,11,8.1108369403653
1,8,12,8.06396341786335
1,8,13,8.10329847745912
1,8,14,8.0965137329953
1,8,15,8.10328866102499
1,8,16,8.04115201204767
1,8,17,8.06170223773509
1,8,18,8.009579685421
1,8,19,7.91733386184731
1,8,20,7.85939797755968
