disp,chain,iter,value
1,1,1,6.27732602057682
1,1,2,6.44095120350856
1,1,3,5.93372029830827
1,1,4,6.18506122939097
1,1,5,5.8259036915709
1,1,6,6.26183522706894
1,1,7,5.89359624235076
1,1,8,6.22512016232658
1,1,9,5.68219976327044
1,1,10,6.19562475633795
1,1,11,6.33753083156096
1,1,12,5.90525087476235
1,1,13,5.72407640779216
1,1,14,5.62099810937712
1,1,15,5.89416112265796
1,1,16,5.64911735630155
1,1,17,5.63210809730074
1,1,18,5.49711598683345
1,1,19,5.62888538104156
1,1,20,5.47527005546582
1,2,1,6.11645979107887
1,2,2,5.94489961511792
1,2,3,5.950667092726
1,2,4,5.70268975367281
1,2,5,5.56775768060285
1,2,6,5.49049535459238
1,2,7,5.95731917539114
1,2,8,5.80546856595359
1,2,9,5.93894707742275
1,2,10,5.91213382421199
1,2,11,6.23654955175784
1,2,12,6.0949323888318
1,2,13,6.30001572949261
1,2,14,5.94259981143501
1,2,15,6.20987604545765
1,2,16,6.11131598302315
1,2,17,6.08412603159179
1,2,18,5.98539249008448
1,2,19,6.1433948212178
1,2,20,5.93823870200013
1,3,1,6.20914908418152
1,3,2,5.98239479478474
1,3,3,5.80806339831942
1,3,4,5.86461240498814
1,3,5,5.91673643738838
1,3,6,6.17630960798763
1,3,7,5.85631401817932
1,3,8,6.04363990030049
1,3,9,5.94108778236495
1,3,10,6.03152114290993
1,3,11,5.82115739346279
1,3,12,5.93292456707458
1,3,13,5.93484943161004
1,3,14,6.16132336773074
1,3,15,5.95237008150669
1,3,16,6.10660285182872
1,3,17,5.74535780792784
1,3,18,5.56814299142876
1,3,19,5.56867321157775
1,3,20,5.87937241108067
1,4,1,6.06498382293058
1,4,2,5.9619835248914
1,4,3,5.74785840187327
1,4,4,5.7878057647004
1,4,5,5.84605558752124
1,4,6,5.99716052214995
1,4,7,5.99782977185637
1,4,8,5.90609455325777
1,4,9,6.42212588364598
1,4,10,5.4140592424929
1,4,11,5.53893767714795
1,4,12,5.51953043595401
1,4,13,5.70528659741416
1,4,14,5.39106528911167
1,4,15,5.24394126121565
1,4,16,5.71493731147877
1,4,17,5.89489965934959
1,4,18,5.55304265942082
1,4,19,5.49831734620907
1,4,20,5.49888472210903
1,5,1,6.26820688867983
1,5,2,6.00131314593064
1,5,3,5.79694243858079
1,5,4,5.98040273130638
1,5,5,5.83065655630985
1,5,6,5.76004911600012
1,5,7,6.060643858223
1,5,8,5.91880072481976
1,5,9,5.72875796703704
1,5,10,5.8521636213091
1,5,11,5.98395965740103
1,5,12,6.32631831439124
1,5,13,5.87065180724688
1,5,14,5.78298771162031
1,5,15,6.04324498413194
1,5,16,5.75595568565591
1,5,17,5.73075884473413
1,5,18,5.63519478195859
1,5,19,5.54701173856281
1,5,20,5.43969254070201
1,6,1,6.02115095380847
1,6,2,6.56139774106264
1,6,3,6.54773625006424
1,6,4,5.79615939163254
1,6,5,5.93684737416511
1,6,6,5.76815884943442
1,6,7,5.48085970412657
1,6,8,5.45102164935748
1,6,9,5.31100058522782
1,6,10,5.51330921443916
1,6,11,5.59485954188183
1,6,12,5.45287673376852
