disp,chain,iter,value
1,1,1,5.98454727454734
1,1,2,5.78980551441883
1,1,3,5.9999873845137
1,1,4,5.88168201838681
1,1,5,5.97707892649051
1,1,6,5.87406976866743
1,1,7,6.21228812429304
1,1,8,6.06776358455079
1,1,9,6.02543676728906
1,1,10,5.99577988886877
1,1,11,5.96641238892315
1,1,12,5.85514749075301
1,1,13,6.21169705535153
1,1,14,6.07053469914366
1,1,15,5.71506853044681
1,1,16,5.55484268294447
1,1,17,5.53880139903839
1,1,18,5.73107705746333
1,1,19,5.54783099909532
1,1,20,5.51245228400584
1,2,1,6.29188037637659
1,2,2,6.00098005011673
1,2,3,6.07692175395938
1,2,4,6.32425747636797
1,2,5,6.30836987398825
1,2,6,6.17195082833604
1,2,7,5.89974314761524
1,2,8,5.97394456794894
1,2,9,6.24908314794481
1,2,10,6.91602767880001
1,2,11,6.03087254483834
1,2,12,6.27326016637272
1,2,13,6.76391153661664
1,2,14,6.17586591934583
1,2,15,5.89601605439902
1,2,16,5.9974739593022
1,2,17,6.070075608064
1,2,18,6.11704340913233
1,2,19,6.2541575004034
1,2,20,6.02483786236214
1,3,1,6.11995443615587
1,3,2,5.87145980128304
1,3,3,5.72781396615045
1,3,4,6.21154481195109
1,3,5,5.9360296677666
1,3,6,6.59606691007399
1,3,7,5.70739984434017
1,3,8,5.95521026894865
1,3,9,5.98259711470781
1,3,10,6.21656183849658
1,3,11,6.01314917658763
1,3,12,6.18490675355989
1,3,13,5.87265379251597
1,3,14,5.63325585426681
1,3,15,5.37427229589546
1,3,16,5.64720203470359
1,3,17,5.98629560337943
1,3,18,5.71691632955154
1,3,19,6.16082221220867
1,3,20,6.28571931930649
1,4,1,6.14837778941286
1,4,2,6.29738209139773
1,4,3,5.93721406126968
1,4,4,6.15765810877536
1,4,5,6.12341067108529
1,4,6,6.02205578682275
1,4,7,5.94567264750468
1,4,8,6.12671079082913
1,4,9,6.50725269048909
1,4,10,6.16099742435911
1,4,11,6.46818265571379
1,4,12,6.14932532899366
1,4,13,6.37364274948649
1,4,14,6.36883083222747
1,4,15,6.42865668456564
1,4,16,6.46789668125603
1,4,17,6.17948727556046
1,4,18,6.23691663500493
1,4,19,6.00791737386537
1,4,20,6.35960644424341
1,5,1,5.86272623245637
1,5,2,6.10324369759959
1,5,3,5.83224301330587
1,5,4,5.96721025531083
1,5,5,5.98908725873708
1,5,6,5.77250708049661
1,5,7,5.87545916303669
1,5,8,6.05345061999063
1,5,9,6.2176464430349
1,5,10,6.31725865093203
1,5,11,6.15999065089647
1,5,12,6.09918622271347
1,5,13,6.0757414658211
1,5,14,6.03857945026554
1,5,15,6.12053687700116
1,5,16,6.13310728201086
1,5,17,6.31625787340116
1,5,18,6.12619505339746
1,5,19,6.02287018592638
1,5,20,5.86563189314737
1,6,1,6.27081834046918
1,6,2,5.91535372244411
1,6,3,6.17686717978113
1,6,4,5.85888862658297
1,6,5,6.29023721118663
1,6,6,6.24436038179073
1,6,7,5.87135722984124
1,6,8,5.94773049168748
1,6,9,5.75968725793304
1,6,10,5.92948845690732
1,6,11,5.94372914501914
1,6,12,5.81014476308215
1,6,13,5.90582047966817
1,6,14,5.76414169403854
1,6,15,5.7644205249466
1,6,16,5.69164264014058
1,6,17,5.82724789038584
1,6,18,5.62977350465785
1,6,19,5.77328448478596
1,6,20,5.72429597385018
1,7,1,5.99333225447665
1,7,2,6.02192301599683
1,7,3,6.00031446098467
1,7,4,6.06984607630695
1,7,5,5.91467139742727
1,7,6,5.99651405046038
1,7,7,6.82528678593892
1,7,8,6.77137109873148
1,7,9,6.50289993312369
1,7,10,6.20922153461905
1,7,11,6.58608733769761
1,7,12,6.19951179701655
1,7,13,6.11424973392533
1,7,14,6.18069853682836
1,7,15,5.98691822172348
1,7,16,6.30913239737035
1,7,17,6.10479524285985
1,7,18,6.0764194323699
1,7,19,5.89824738301957
1,7,20,6.07058227971075
1,8,1,6.22580509661816
1,8,2,6.01844701578135
1,8,3,6.41753820850107
1,8,4,6.3271855941752
1,8,5,6.07796695599357
1,8,6,6.08295244305117
1,8,7,6.73977341268667
1,8,8,6.07003789720986
1,8,9,6.09402221172066
1,8,10,6.28810615043681
1,8,11,6.14796922686446
1,8,12,6.22816931309452
1,8,13,6.15206774379055
1,8,14,6.0922927368186
1,8,15,6.33845987756509
1,8,16,5.95209783251438
1,8,17,5.95037337598821
1,8,18,5.90458750615163
1,8,19,6.05513112728131
1,8,20,5.80552269403769
1,9,1,6.07533981285134
1,9,2,6.02149723326281
1,9,3,6.36941717382651
1,9,4,6.25616638402035
1,9,5,6.28648334428078
1,9,6,5.99306686157663
1,9,7,6.19543690081052
1,9,8,6.21873528450316
1,9,9,5.90208808370936
1,9,10,5.92839603298575
1,9,11,5.76425768581133
1,9,12,5.7165967243555
1,9,13,6.50301707563721
1,9,14,5.94074964573881
1,9,15,6.04165401978269
1,9,16,6.15485292898925
1,9,17,5.44846026679178
1,9,18,5.87251813228145
1,9,19,5.76145695212438
1,9,20,6.08880245889076
1,10,1,6.18028220191607
1,10,2,6.2673901555214
1,10,3,6.75757071647561
1,10,4,6.13376066188718
1,10,5,6.3290137966954
1,10,6,6.62449353688256
1,10,7,5.99126815839261
1,10,8,5.72014720587969
1,10,9,6.45730608063481
1,10,10,6.28051698886749
1,10,11,6.26881334707874
1,10,12,6.21234711292764
1,10,13,5.7254925715228
1,10,14,5.97256070592788
1,10,15,5.725721408994
1,10,16,6.11606288721714
1,10,17,6.16121906591676
1,10,18,6.41951781256285
1,10,19,5.70436960777262
1,10,20,6.27807899623055
2,1,1,6.21263039353989
2,1,2,5.90123938273956
2,1,3,6.0962133525085
2,1,4,5.68437194473136
2,1,5,6.58360691261757
2,1,6,5.93248211543997
2,1,7,6.07537881546571
2,1,8,5.893710631628
2,1,9,5.64718474376934
2,1,10,5.68115721684468
2,1,11,5.79157062205723
2,1,12,5.98135561708953
2,1,13,5.70825919129648
2,1,14,5.83528850398343
2,1,15,5.95356925048916
2,1,16,6.38029870739449
2,1,17,5.96364434264209
2,1,18,5.95921369503781
2,1,19,5.71707646347721
2,1,20,5.64188873291797
2,2,1,6.00011357628222
