disp,chain,iter,value
1,1,1,6.0547275043324
1,1,2,5.96940562718374
1,1,3,6.11383097799415
1,1,4,5.79243493414708
1,1,5,5.87719390642734
1,1,6,5.81548566440035
1,1,7,5.78064615677578
1,1,8,5.82828524859635
1,1,9,5.79752782661348
1,1,10,5.54369111207437
1,1,11,5.86972201521473
1,1,12,5.99782248144876
1,1,13,5.92261546212898
1,1,14,6.26672895706503
1,1,15,5.89697115677961
1,1,16,5.76914126036542
1,1,17,5.6018714357159
1,1,18,5.80768437800155
1,1,19,5.78541459702863
1,1,20,5.78985283178341
1,2,1,6.38540422813319
1,2,2,6.11533845865023
1,2,3,6.13673522123884
1,2,4,6.31352580550562
1,2,5,6.41638505174048
1,2,6,6.35485215874323
1,2,7,6.25563244036012
1,2,8,6.15130042993238
1,2,9,6.0322728917807
1,2,10,5.95743895907393
1,2,11,5.7950930079107
1,2,12,5.89287014116871
1,2,13,5.75263870989888
1,2,14,6.09360965853484
1,2,15,6.45917491625208
1,2,16,6.36253802565204
1,2,17,5.84678011516455
1,2,18,6.18319093052936
1,2,19,5.74275451635596
1,2,20,6.59436398805638
1,3,1,5.99626107777243
1,3,2,6.13654585061262
1,3,3,6.16029647458599
1,3,4,6.156092660556
1,3,5,6.29345760119466
1,3,6,6.26537731168224
1,3,7,5.91011068958061
1,3,8,6.0287674757527
1,3,9,6.3737266039236
1,3,10,6.33839396809902
1,3,11,6.18376012942228
1,3,12,6.45039274336658
1,3,13,6.35474758386253
1,3,14,6.50637404784243
1,3,15,6.48834145541583
1,3,16,6.17831010281406
1,3,17,5.72687714574719
1,3,18,6.25695657353908
1,3,19,6.05034649254534
1,3,20,6.37325239501647
1,4,1,6.61620334491891
1,4,2,5.70926142826765
1,4,3,5.89832282991167
1,4,4,5.63888846333621
1,4,5,5.66997416464314
1,4,6,5.76893077579554
1,4,7,5.64987607352059
1,4,8,5.61246740698289
1,4,9,5.96648809567298
1,4,10,5.69054031682127
1,4,11,5.49942904939598
1,4,12,5.92086160666753
1,4,13,5.36382628197595
1,4,14,5.53800165700636
1,4,15,5.48829936511985
1,4,16,5.37371458774845
1,4,17,5.91551492774738
1,4,18,5.74249569684594
1,4,19,5.21483659146636
1,4,20,5.44647905685907
1,5,1,6.12402540626978
1,5,2,6.11539024948684
1,5,3,6.3300371267381
1,5,4,6.44232938757328
1,5,5,6.39068402167715
1,5,6,6.34122000968742
1,5,7,6.2753563283976
1,5,8,6.17741162869778
1,5,9,6.60567890093101
1,5,10,6.42797215341372
1,5,11,6.12108599677443
1,5,12,6.16434833195025
1,5,13,6.31539394501968
1,5,14,5.89152917333933
1,5,15,6.44792718304602
1,5,16,5.97985593579415
1,5,17,5.84143760453179
1,5,18,5.82570794508521
1,5,19,5.77901893785323
1,5,20,5.88734385135511
1,6,1,6.18335010557574
1,6,2,6.34326794739381
1,6,3,6.00145279022351
1,6,4,6.22784707229837
1,6,5,6.3318461829789
1,6,6,6.31356010130887
1,6,7,6.30208280267805
1,6,8,6.12380838293245
1,6,9,6.48800780666851
1,6,10,6.03949471009538
1,6,11,6.1800007669672
1,6,12,6.01974005130055
1,6,13,5.85869936067202
1,6,14,5.44826161054884
1,6,15,5.88921655904577
1,6,16,6.36776517148096
1,6,17,6.44112972011308
1,6,18,6.21994667457998
1,6,19,5.77951408764797
1,6,20,5.69400140299819
1,7,1,6.12565246641229
1,7,2,6.39168484689805
1,7,3,6.65019364509426
1,7,4,5.93538116347316
1,7,5,6.04351366089067
1,7,6,6.1727956218201
1,7,7,5.99273105795954
1,7,8,5.98138843030128
1,7,9,6.25441023177133
1,7,10,5.84621636175387
1,7,11,6.08606752154499
1,7,12,5.89389695259982
1,7,13,5.96969753980922
1,7,14,5.93849072364231
1,7,15,5.87044833662341
1,7,16,5.81834717620251
1,7,17,5.74502624185535
1,7,18,5.92283008235942
1,7,19,5.90160445869757
1,7,20,6.35809736464128
1,8,1,6.40502266763961
1,8,2,6.36268001966522
1,8,3,6.21280147342836
1,8,4,6.14507550425201
