disp,chain,iter,value
1,1,1,6.17253144094334
1,1,2,6.13823672564617
1,1,3,5.29863288368786
1,1,4,5.19450688531991
1,1,5,5.12329760529764
1,1,6,5.23866269441408
1,1,7,5.4110377735425
1,1,8,4.78455753704298
1,1,9,5.08922137039306
1,1,10,5.52483916758277
1,1,11,5.27352058802091
1,1,12,4.76313720630079
1,1,13,4.85535238903209
1,1,14,4.53881567406424
1,1,15,4.33638526807818
1,1,16,4.00531874010094
1,1,17,3.62696867007987
1,1,18,3.81035536018122
1,1,19,3.9087104451721
1,1,20,3.48469721370368
1,2,1,6.08921590970363
1,2,2,5.88292768142013
1,2,3,5.41571980987664
1,2,4,5.03924466803012
1,2,5,6.05964820999019
1,2,6,5.95615950049645
1,2,7,5.60926779458352
1,2,8,5.40688726901217
1,2,9,5.20288521502908
1,2,10,5.2442838572116
1,2,11,4.9439235729632
1,2,12,4.34484371357374
1,2,13,4.5060987643459
1,2,14,4.59137796356249
1,2,15,4.36847918821287
1,2,16,4.43819112805828
1,2,17,4.84636336462095
1,2,18,4.48740331339737
1,2,19,4.63322148871865
1,2,20,4.34713667754644
1,3,1,6.25239462697922
1,3,2,5.79008725661826
1,3,3,5.13825857722711
1,3,4,5.54346737777357
1,3,5,5.91951949562912
1,3,6,5.51038593627595
1,3,7,5.4117388498571
1,3,8,5.24607709245577
1,3,9,5.04308846347435
1,3,10,5.63211123067238
1,3,11,4.64983965318567
1,3,12,4.26191006544364
1,3,13,4.4570193350743
1,3,14,4.56393602436142
1,3,15,4.62878792028685
1,3,16,4.48800386627754
1,3,17,5.47696839438469
1,3,18,4.21470903026469
1,3,19,3.99027208150402
1,3,20,3.78102164055268
1,4,1,6.148056078532
1,4,2,6.70855041258526
1,4,3,6.8092686804098
1,4,4,6.74636115578282
1,4,5,6.13862692461227
1,4,6,6.64490677365426
1,4,7,6.64943715022673
1,4,8,6.39715329590632
1,4,9,6.42295640517544
1,4,10,6.4327228578477
1,4,11,6.0091533141699
1,4,12,5.84671658792142
1,4,13,6.18670752686908
1,4,14,6.11825596662184
1,4,15,5.78648691135411
1,4,16,6.19755416598043
1,4,17,5.89421692139093
1,4,18,5.8021800903382
1,4,19,4.96053714379278
1,4,20,5.00721848850929
1,5,1,6.3138422837628
1,5,2,6.37497790362021
1,5,3,5.87748789067521
1,5,4,5.66164937628052
1,5,5,5.05456047810689
1,5,6,4.89121429938864
1,5,7,4.82048736480275
1,5,8,4.45253536679702
1,5,9,4.18212166544254
1,5,10,4.34182327159864
1,5,11,5.08438762176649
1,5,12,4.21746769054348
1,5,13,3.81283985222509
1,5,14,3.82183614387283
1,5,15,3.60303511171406
1,5,16,4.20904582746411
1,5,17,4.28132893198193
1,5,18,3.94271803715996
1,5,19,3.77755319474295
1,5,20,3.52047098586059
1,6,1,6.15021379892973
1,6,2,5.80276633162688
1,6,3,5.97938777452291
1,6,4,5.67393572033211
1,6,5,5.58633720413224
1,6,6,4.89035889826088
1,6,7,4.94662772997328
1,6,8,4.95111010028049
1,6,9,4.7014950863379
1,6,10,4.16256006936023
1,6,11,4.20058017513394
1,6,12,3.87955174788111
1,6,13,4.20949936631721
1,6,14,4.78951068145048
1,6,15,4.77083557564771
1,6,16,4.98636886534577
1,6,17,5.22428634791052
1,6,18,4.93948342526454
1,6,19,5.0811075553996
1,6,20,5.35967851205869
1,7,1,6.07032475995451
1,7,2,6.14829782081569
1,7,3,6.15250648928126
1,7,4,6.32151393885035
1,7,5,6.05127237327617
1,7,6,6.28532753096588
1,7,7,5.70762258143571
1,7,8,5.86421600320553
1,7,9,5.87985180012265
1,7,10,5.43803332109522
1,7,11,5.86664787565524
1,7,12,5.56432141083021
1,7,13,5.49139316878883
1,7,14,5.58079509189361
1,7,15,5.3890728714972
1,7,16,5.38949974373402
1,7,17,4.76071324161924
1,7,18,4.80199692649582
1,7,19,4.07707900268391
